name	chats	msgs	ratio	times	tokens	com	c1k	mode	label
Alosha	44	7893	179.39	50.49	515	0	0.0	open	bot
Undertale	167	5490	32.87	9.25	1815	0	0.0	disabled	bot
dads new fiancee	238	4478	18.82	4.18	2120	21	89.4	open	NOTBOT
School Queen Bee	305	5804	19.03	3.02	1722	1	3.3	open	mark
Ellen Joe	303	4525	14.93	2.39	724	1	3.3	open	mark
Bully strawmanning	317	4589	14.48	2.21	1355	10	31.8	open	notbot
Kassie Brendon	307	3981	12.97	2.02	4034	-1	-1	open	legit
Would You Still See Her	430	5883	13.68	2.01	4074	-1	-1	open	legit
Bully forced to live	638	8597	13.47	1.88	3111	-1	-1	open	legit
Sienna Laurent	1571	28430	18.10	1.70	4753	2	1.3	open	?
MHA Pro hero gala	476	5246	11.02	1.60	2236	-1	-1	open	legit
Maleva	472	5037	10.67	1.55	3661	-1	-1	open	legit
Succubus Crush	2552	37095	14.54	1.37	1351	24	9.4	open	notbot
Arielle	1238	18758	15.15	1.36	3834	13	10.5	open	legit
Aliens abducted	995	12557	12.62	1.36	1106	6	6.5	open	suspicious
Kidnapped For Content	2495	34460	13.81	1.30	4919	27	10.9	followed_only	legit
Empress of Serpents	581	5223	8.99	1.27	4381	-1	-1	open	legit
the three cuckateers	449	3903	8.69	1.27	2630	-1	-1	open	legit
A Smile and a Smirk	1707	22351	13.09	1.24	3330	10	5.9	open	legit
Superhero Wife	1013	11840	11.69	1.24	5338	16	15.8	open	legit
Your girlfriend cold	1126	14160	12.58	1.21	1922	14	12.5	open	legit
Betrayed Hero Party	2577	32575	12.64	1.19	4006	42	16.3	open	legit
Wife futa coworker	2948	37699	12.79	1.18	3544	15	5.1	open	legit
Your Sunday Regular	903	8138	9.01	1.06	2979	-1	-1	open	legit
Gym Femcel	1084	11149	10.29	1.02	1541	7	6.5	open	suspicious
Yandere Best Friend	5786	60405	10.44	0.97	3225	63	10.9	open	legit
Yoruichi	973	8130	8.36	0.92	3650	-1	-1	open	legit
Kira LCE Intern	777	5179	6.67	0.91	4839	-1	-1	open	legit
Witch with a Contract	689	3942	5.72	0.79	2623	-1	-1	open	legit
lazy bratty stepsister	749	4065	5.43	0.74	1885	-1	-1	open	legit
Netori Australian Mom	843	4744	5.63	0.71	3031	-1	-1	open	legit
dearest childhood friend	1131	7880	6.97	0.67	2020	10	8.9	open	legit
Lonely MILF	3839	27771	7.23	0.66	1688	23	6.0	open	legit
Caught With Pants Down	1008	4372	4.34	0.46	2371	9	9.0	open	legit
