name	chats	msgs	ratio	times	tokens	com	c1k	mode	label
Alosha	40	7867	196.68	55.36	511	0	0.0	open	bot
Undertale	164	5424	33.07	9.31	1815	0	0.0	disabled	bot
dads new fiancee	216	3946	18.27	4.63	2120	-1	-1	open	?
School Queen Bee	295	5570	18.88	3.14	1722	1	3.4	open	mark-please
Ellen Joe	299	4515	15.10	2.46	724	1	3.3	open	mark-please
Bully strawmanning	305	4498	14.75	2.34	1355	10	32.8	open	notbot
Kassie Brendon	301	3920	13.02	2.09	4034	-1	-1	open	legit
Would You Still See Her	413	5591	13.54	2.00	4074	-1	-1	open	legit
Bully forced to live	613	8362	13.64	1.92	3111	-1	-1	open	legit
Sienna Laurent	1516	27388	18.07	1.68	4753	2	1.3	open	?
MHA Pro hero gala	472	5206	11.03	1.60	2236	-1	-1	open	legit
Maleva	462	4833	10.46	1.52	3661	-1	-1	open	legit
Arielle	1215	18113	14.91	1.33	3834	13	10.7	open	legit
Succubus Crush	2508	35385	14.11	1.33	1351	24	9.6	open	notbot
Kidnapped For Content	2419	33737	13.95	1.32	4919	27	11.2	followed_only	legit
the three cuckateers	441	3842	8.71	1.28	2630	-1	-1	open	legit
Superhero Wife	987	11473	11.62	1.26	5338	-1	-1	open	legit
Empress of Serpents	574	5090	8.87	1.26	4381	-1	-1	open	legit
A Smile and a Smirk	1672	21969	13.14	1.24	3330	10	6.0	open	legit
Your girlfriend cold	1096	13765	12.56	1.23	1922	14	12.8	open	legit
Betrayed Hero Party	2527	31919	12.63	1.19	4006	42	16.6	open	legit
Wife futa coworker	2872	36604	12.75	1.18	3544	15	5.2	open	legit
Your Sunday Regular	889	7950	8.94	1.07	2979	-1	-1	open	legit
Gym Femcel	1051	10626	10.11	1.03	1541	7	6.7	open	?
Yandere Best Friend	5612	57922	10.32	0.96	3225	63	11.2	open	legit
Yoruichi	945	7883	8.34	0.94	3650	-1	-1	open	legit
Kira LCE Intern	775	5135	6.63	0.90	4839	-1	-1	open	legit
Witch with a Contract	679	3855	5.68	0.79	2623	-1	-1	open	legit
lazy bratty stepsister	704	3816	5.42	0.75	1885	-1	-1	open	legit
Netori Australian Mom	818	4571	5.59	0.72	3031	-1	-1	open	legit
dearest childhood friend	1095	7506	6.85	0.67	2020	10	9.1	open	legit
Lonely MILF	3762	26921	7.16	0.65	1688	23	6.1	open	legit
Caught With Pants Down	982	4259	4.34	0.47	2371	-1	-1	open	legit
